id,company_name,industry,industry
1,東元精電股份有限公司,民間產業/機械,3
2,鈊象電子股份有限公司,民間產業/數位內容,16
3,金像電子股份有限公司,民間產業/電子,8
4,潤泰全球股份有限公司,民間產業/民生化工生技,3
5,驊陞科技股份有限公司,民間產業/電子,3
6,集盛實業股份有限公司,民間產業/民生化工生技,2
7,國立成功大學,大學校院,15
8,瑞昱半導體股份有限公司,民間產業/半導體,90
9,華康科技開發股份有限公司,民間產業/資訊,1
10,聯發科技股份有限公司,民間產業/半導體,202
11,昇達科技股份有限公司,民間產業/通訊,10
12,聯華電信股份有限公司,民間產業/通訊,3
13,衛生福利部中央健康保險署,政府機關,5
14,飛絡力電子股份有限公司,民間產業/電子,5
15,視達威科技股份有限公司,民間產業/通訊,4
17,智微科技股份有限公司,民間產業/電子,9
18,艾姆勒車電股份有限公司,民間產業/金屬,3
19,亞睿資訊股份有限公司,民間產業/資訊,5
20,聯嘉光電股份有限公司,民間產業/光電,6
21,經緯航太科技股份有限公司,民間產業/其他/航太工業,15
22,榮光機械股份有限公司,民間產業/機械,3
23,台灣瀧澤科技股份有限公司,民間產業/機械,2
25,研華股份有限公司,民間產業/資訊,13
26,旭東機械工業股份有限公司,民間產業/機械,16
27,華新科技股份有限公司,民間產業/電子,16
28,宏楷科技股份有限公司,民間產業/機械,4
29,鑫創科技股份有限公司,民間產業/半導體,3
30,百塑企業股份有限公司,民間產業/機械,6
32,欣銓科技股份有限公司,民間產業/半導體,7
33,力致科技股份有限公司,民間產業/電子,7
34,威盛電子股份有限公司,民間產業/半導體,6
35,立普思股份有限公司,民間產業/電子,15
36,合豐自動化股份有限公司,民間產業/機械,3
38,聯亞光電工業股份有限公司,民間產業/光電,3
39,絡達科技股份有限公司,民間產業/半導體,8
40,衛生福利部,政府機關,28
41,力智電子股份有限公司,民間產業/半導體,9
42,國立臺灣科技大學,大學校院,3
43,創惟科技股份有限公司,民間產業/半導體,6
45,宏達國際電子股份有限公司,民間產業/通訊,94
46,識驊科技股份有限公司,民間產業/其他/材料技術,2
47,磐安科技研發室,政府機關,5
48,雲想科技股份有限公司,民間產業/資訊,1
49,旺玖科技股份有限公司,民間產業/電子,3
50,臻賞工業股份有限公司,民間產業/機械,3
52,矽創電子股份有限公司,民間產業/半導體,6
53,廣積科技股份有限公司,民間產業/資訊,3
54,正文科技股份有限公司,民間產業/通訊,14
56,旭德科技股份有限公司,民間產業/電子,8
57,哈瑪星科技股份有限公司,民間產業/資訊,6
58,耀登科技股份有限公司,民間產業/通訊,3
59,財團法人工業技術研究院,財團法人研究機構,128
60,鋐寶科技股份有限公司,民間產業/通訊,11
61,明鼎電子股份有限公司,民間產業/電子,1
62,台林電通股份有限公司,民間產業/通訊,4
63,采鈺科技股份有限公司,民間產業/半導體,3
64,財團法人臺灣營建研究院,財團法人研究機構,1
65,沛星互動科技股份有限公司,民間產業/資訊,7
68,國立中正大學,大學校院,6
69,環鴻科技股份有限公司,民間產業/通訊,11
70,衛生福利部國民健康署,政府機關,7
71,明泰科技股份有限公司,民間產業/通訊,33
73,弘煜科技事業股份有限公司,民間產業/數位內容,6
74,世博科技顧問股份有限公司,民間產業/服務業,3
75,群暉科技股份有限公司,民間產業/資訊,23
77,上銀科技股份有限公司,民間產業/機械,60
78,欣興電子股份有限公司,民間產業/電子,32
